episode_id,case,policy,seed,notes,status
revision_jointcal_missing_verified_s255,dependency_sensitive,always_verify,255,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s256,dependency_sensitive,always_verify,256,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s257,dependency_sensitive,always_verify,257,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s258,dependency_sensitive,always_verify,258,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s259,dependency_sensitive,always_verify,259,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s260,dependency_sensitive,always_verify,260,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s267,dependency_sensitive,always_verify,267,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s268,dependency_sensitive,always_verify,268,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s270,dependency_sensitive,always_verify,270,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s271,dependency_sensitive,no_verify,271,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s273,dependency_sensitive,no_verify,273,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s274,dependency_sensitive,always_verify,274,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s277,dependency_sensitive,no_verify,277,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s278,dependency_sensitive,always_verify,278,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s279,dependency_sensitive,no_verify,279,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s280,dependency_sensitive,no_verify,280,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s281,dependency_sensitive,always_verify,281,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s286,dependency_sensitive,no_verify,286,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s287,dependency_sensitive,no_verify,287,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s294,dependency_sensitive,always_verify,294,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s295,dependency_sensitive,always_verify,295,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s296,dependency_sensitive,always_verify,296,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s297,dependency_sensitive,always_verify,297,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s298,dependency_sensitive,always_verify,298,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_verified_s302,dependency_sensitive,always_verify,302,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s303,dependency_sensitive,no_verify,303,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s304,dependency_sensitive,always_verify,304,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s307,dependency_sensitive,no_verify,307,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s308,dependency_sensitive,always_verify,308,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s309,dependency_sensitive,no_verify,309,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_verified_s311,dependency_sensitive,always_verify,311,Joint calibration missing verified outcome for eval split.,done
revision_jointcal_missing_unverified_s313,dependency_sensitive,no_verify,313,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s314,dependency_sensitive,no_verify,314,Joint calibration missing unverified outcome for eval split.,done
revision_jointcal_missing_unverified_s315,dependency_sensitive,no_verify,315,Joint calibration missing unverified outcome for eval split.,done
